County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Lassen,06/16/2020,5,0,0,0,0,0
Los Angeles,06/16/2020,75051,2959,1429,518,412,87
Madera,06/16/2020,239,4,5,3,3,0
Marin,06/16/2020,725,18,6,3,1,0
Mariposa,06/16/2020,17,1,0,0,0,0
Mendocino,06/16/2020,35,0,0,0,0,0
Merced,06/16/2020,436,7,6,2,3,0
Modoc,06/16/2020,0,0,0,0,0,0
Mono,06/16/2020,34,1,0,0,0,0
Monterey,06/16/2020,1019,12,13,4,2,0
Napa,06/16/2020,196,3,4,6,1,0
Nevada,06/16/2020,53,1,0,1,0,0
Orange,06/16/2020,9163,233,364,65,151,18
Placer,06/16/2020,392,9,8,10,3,2
Plumas,06/16/2020,5,0,0,0,0,0
Riverside,06/16/2020,11638,395,257,84,65,18
Sacramento,06/16/2020,1825,63,36,21,13,8
San Benito,06/16/2020,110,2,0,0,0,0
San Bernardino,06/16/2020,7463,229,229,64,77,13
San Diego,06/16/2020,9732,323,289,54,130,12
San Francisco,06/16/2020,2893,46,34,8,8,0
San Joaquin,06/16/2020,1718,47,47,14,18,2
San Luis Obispo,06/16/2020,343,1,5,8,2,5
San Mateo,06/16/2020,2618,99,17,11,6,1
Santa Barbara,06/16/2020,2090,21,42,8,13,1
Santa Clara,06/16/2020,3228,152,32,16,12,3
Santa Cruz,06/16/2020,257,3,3,1,0,0
Shasta,06/16/2020,51,4,0,0,0,0
Sierra,06/16/2020,1,0,0,0,0,0
Siskiyou,06/16/2020,15,0,0,1,0,1
Solano,06/16/2020,694,23,17,8,5,2
Sonoma,06/16/2020,739,4,5,13,3,0
Stanislaus,06/16/2020,1278,35,50,14,16,3
Sutter,06/16/2020,73,3,0,0,0,0
Tehama,06/16/2020,24,1,0,0,0,0
Trinity,06/16/2020,2,0,0,0,0,0
Tulare,06/16/2020,2802,98,49,4,11,0
Tuolumne,06/16/2020,7,0,0,0,0,0
Unassigned,06/16/2020,2,0,0,0,0,0
Ventura,06/16/2020,1676,41,47,45,13,9
Yolo,06/16/2020,262,24,1,0,0,0
Yuba,06/16/2020,29,4,6,0,2,0
Alameda,06/17/2020,4485,116,90,47,36,13
Alpine,06/17/2020,1,0,0,0,0,0
Amador,06/17/2020,10,0,1,0,0,0
Butte,06/17/2020,81,1,3,0,3,0
Calaveras,06/17/2020,20,0,0,0,0,0
Colusa,06/17/2020,7,0,0,0,0,0
Contra Costa,06/17/2020,2020,50,23,9,10,3
Del Norte,06/17/2020,45,0,0,0,0,0
El Dorado,06/17/2020,116,0,0,2,0,0
Fresno,06/17/2020,2801,61,73,30,16,1
Glenn,06/17/2020,31,0,1,0,0,0
Humboldt,06/17/2020,105,4,0,3,0,1
Imperial,06/17/2020,4108,54,86,3,20,0
Inyo,06/17/2020,25,1,0,0,0,0
Kern,06/17/2020,3547,60,99,24,45,0
Kings,06/17/2020,1097,9,48,1,10,0
Lake,06/17/2020,32,0,0,1,0,0
Lassen,06/17/2020,5,0,0,0,0,0
Los Angeles,06/17/2020,77166,2991,1446,512,414,61
Madera,06/17/2020,258,4,4,3,4,1
Marin,06/17/2020,771,18,7,1,2,1
Mariposa,06/17/2020,18,1,0,0,0,0
Mendocino,06/17/2020,42,0,0,0,0,0
Merced,06/17/2020,460,8,6,4,3,0
Modoc,06/17/2020,0,0,0,0,0,0
Mono,06/17/2020,34,1,0,0,0,0
Monterey,06/17/2020,1077,12,15,2,2,1
Napa,06/17/2020,202,4,3,6,0,0
Nevada,06/17/2020,57,1,2,0,0,0
Orange,06/17/2020,9278,244,351,74,149,16
Placer,06/17/2020,427,9,6,10,2,1
Plumas,06/17/2020,5,0,0,0,0,0
Riverside,06/17/2020,11859,399,285,94,75,19
Sacramento,06/17/2020,1889,67,34,18,14,5
San Benito,06/17/2020,116,2,0,0,0,0
San Bernardino,06/17/2020,7670,229,233,64,76,12
San Diego,06/17/2020,9856,327,283,60,130,17
San Francisco,06/17/2020,2906,47,35,9,8,3
San Joaquin,06/17/2020,1825,47,50,11,18,1
San Luis Obispo,06/17/2020,362,1,4,3,2,1
San Mateo,06/17/2020,2649,99,14,6,6,1
Santa Barbara,06/17/2020,2147,22,38,10,12,3
Santa Clara,06/17/2020,3264,152,37,18,15,0
Santa Cruz,06/17/2020,265,3,3,4,0,3
Shasta,06/17/2020,51,4,0,0,0,0
Sierra,06/17/2020,1,0,0,0,0,0
Siskiyou,06/17/2020,16,0,1,3,1,0
Solano,06/17/2020,722,23,13,6,4,0
Sonoma,06/17/2020,748,4,6,13,3,2
Stanislaus,06/17/2020,1387,36,49,25,14,3
Sutter,06/17/2020,79,3,0,0,0,0
Tehama,06/17/2020,24,1,0,0,0,0
Trinity,06/17/2020,2,0,0,2,0,0
Tulare,06/17/2020,2882,106,46,3,10,1
Tuolumne,06/17/2020,7,0,0,0,0,0
Unassigned,06/17/2020,5,0,0,0,0,0
Ventura,06/17/2020,1729,41,37,64,14,9
Yolo,06/17/2020,277,24,2,0,0,0
Yuba,06/17/2020,30,4,5,0,1,0
Alameda,06/18/2020,4589,117,77,53,38,16
Alpine,06/18/2020,1,0,0,0,0,0
Amador,06/18/2020,12,0,1,1,1,0
Butte,06/18/2020,88,1,4,0,2,0
Calaveras,06/18/2020,20,0,0,1,0,0
Colusa,06/18/2020,7,0,0,0,0,0
Contra Costa,06/18/2020,2072,55,25,18,10,4
Del Norte,06/18/2020,46,0,0,0,0,0
El Dorado,06/18/2020,121,0,0,3,0,3
Fresno,06/18/2020,2947,62,72,26,13,0
Glenn,06/18/2020,35,0,1,0,0,0
Humboldt,06/18/2020,106,4,0,3,0,1
Imperial,06/18/2020,4366,60,72,1,16,0
Inyo,06/18/2020,25,1,0,0,0,0
Kern,06/18/2020,3634,60,89,14,41,0
Kings,06/18/2020,1141,10,48,2,10,0
Lake,06/18/2020,36,0,0,2,0,0
Lassen,06/18/2020,5,0,0,0,0,0
Los Angeles,06/18/2020,78244,3027,1406,494,403,88
Madera,06/18/2020,288,4,10,6,5,1
Marin,06/18/2020,819,18,5,1,2,0
Mariposa,06/18/2020,18,1,0,0,0,0
Mendocino,06/18/2020,45,0,0,0,0,0
Merced,06/18/2020,486,8,12,5,3,0
Modoc,06/18/2020,0,0,0,0,0,0
Mono,06/18/2020,34,1,0,0,0,0
Monterey,06/18/2020,1127,12,20,1,5,0
Napa,06/18/2020,205,4,4,3,0,0
Nevada,06/18/2020,68,1,2,1,0,0
Orange,06/18/2020,9597,250,335,87,141,15
Placer,06/18/2020,457,9,12,7,3,2
Plumas,06/18/2020,5,0,0,0,0,0
Riverside,06/18/2020,12410,408,292,129,76,21
Sacramento,06/18/2020,1938,67,34,13,13,1
San Benito,06/18/2020,134,2,0,0,0,0
San Bernardino,06/18/2020,8141,230,253,60,87,8
San Diego,06/18/2020,10094,331,288,63,136,15
San Francisco,06/18/2020,2951,47,33,12,8,2
San Joaquin,06/18/2020,1908,47,56,20,22,5
San Luis Obispo,06/18/2020,378,1,6,2,3,0
San Mateo,06/18/2020,2674,99,15,9,6,2
Santa Barbara,06/18/2020,2201,22,42,6,14,1
Santa Clara,06/18/2020,3338,152,38,11,17,2
Santa Cruz,06/18/2020,275,2,2,2,1,0
Shasta,06/18/2020,51,4,1,0,0,0
Sierra,06/18/2020,1,0,0,0,0,0
Siskiyou,06/18/2020,18,0,1,0,1,0
Solano,06/18/2020,735,23,18,11,5,0
Sonoma,06/18/2020,789,4,5,11,3,1
Stanislaus,06/18/2020,1495,36,56,37,21,3
Sutter,06/18/2020,85,3,0,0,0,0
Tehama,06/18/2020,31,1,0,0,0,0
Trinity,06/18/2020,2,0,0,2,0,0
Tulare,06/18/2020,3005,107,47,4,8,0
Tuolumne,06/18/2020,8,0,0,0,0,0
Unassigned,06/18/2020,3,0,0,0,0,0
Ventura,06/18/2020,1781,41,40,37,13,10
Yolo,06/18/2020,294,24,2,1,0,0
Yuba,06/18/2020,32,4,4,0,1,0
Alameda,06/19/2020,4646,118,80,57,36,20
Alpine,06/19/2020,1,0,0,0,0,0
Amador,06/19/2020,12,0,0,0,0,0
Butte,06/19/2020,91,1,4,1,2,1
Calaveras,06/19/2020,20,0,0,1,0,0
Colusa,06/19/2020,7,0,0,0,0,0
Contra Costa,06/19/2020,2106,56,30,11,9,1
Del Norte,06/19/2020,46,0,0,0,0,0
El Dorado,06/19/2020,124,0,0,3,0,3
Fresno,06/19/2020,3109,66,64,37,16,2
Glenn,06/19/2020,40,0,0,0,0,0
Humboldt,06/19/2020,106,4,0,1,0,1
Imperial,06/19/2020,4504,64,80,0,17,0
Inyo,06/19/2020,26,1,0,0,0,0
Kern,06/19/2020,3742,60,93,10,38,0
Kings,06/19/2020,1285,10,49,1,10,0
Lake,06/19/2020,36,0,0,0,0,0
Lassen,06/19/2020,7,0,0,0,0,0
Los Angeles,06/19/2020,79572,3063,1426,494,408,73
Madera,06/19/2020,300,4,10,1,5,0
Marin,06/19/2020,829,18,5,0,3,0
Mariposa,06/19/2020,18,1,0,0,0,0
Mendocino,06/19/2020,48,0,1,3,0,0
Merced,06/19/2020,529,8,9,1,3,0
Modoc,06/19/2020,0,0,0,0,0,0
Mono,06/19/2020,34,1,0,0,0,0
Monterey,06/19/2020,1159,12,18,1,5,0
Napa,06/19/2020,209,4,3,8,0,0
Nevada,06/19/2020,71,1,2,3,0,0
Orange,06/19/2020,9972,257,344,66,138,11
Placer,06/19/2020,464,9,11,11,3,2
Plumas,06/19/2020,5,0,0,0,0,0
Riverside,06/19/2020,12710,410,296,90,72,25
Sacramento,06/19/2020,1976,67,37,17,16,5
San Benito,06/19/2020,136,2,0,0,0,0
San Bernardino,06/19/2020,8454,230,261,57,90,9
San Diego,06/19/2020,10352,332,294,65,143,10
San Francisco,06/19/2020,2968,47,30,9,8,4
San Joaquin,06/19/2020,1969,48,59,15,19,2
San Luis Obispo,06/19/2020,392,1,5,2,3,0
San Mateo,06/19/2020,2713,103,15,5,5,0
Santa Barbara,06/19/2020,2284,22,46,4,17,1
Santa Clara,06/19/2020,3376,152,39,21,18,3
Santa Cruz,06/19/2020,283,3,4,4,1,2
Shasta,06/19/2020,58,4,1,0,1,0
Sierra,06/19/2020,1,0,0,0,0,0
Siskiyou,06/19/2020,21,0,1,0,1,0
Solano,06/19/2020,755,23,17,7,6,0
Sonoma,06/19/2020,803,4,4,4,3,1
Stanislaus,06/19/2020,1549,36,59,34,23,4
Sutter,06/19/2020,89,3,0,0,0,0
Tehama,06/19/2020,35,1,0,0,0,0
Trinity,06/19/2020,2,0,0,4,0,0
Tulare,06/19/2020,3053,111,48,2,12,0
Tuolumne,06/19/2020,8,0,0,0,0,0
Unassigned,06/19/2020,3,0,0,0,0,0
Ventura,06/19/2020,1865,42,43,38,13,7
Yolo,06/19/2020,303,24,2,0,0,0
Yuba,06/19/2020,33,1,4,0,1,0
Alameda,06/20/2020,4758,119,77,44,33,12
Alpine,06/20/2020,1,0,0,0,0,0
Amador,06/20/2020,12,0,0,0,0,0
Butte,06/20/2020,94,1,3,0,3,0
Calaveras,06/20/2020,20,0,1,1,0,1
Colusa,06/20/2020,7,0,0,0,0,0
Contra Costa,06/20/2020,2231,56,34,17,8,6
Del Norte,06/20/2020,46,0,0,0,0,0
El Dorado,06/20/2020,130,0,0,2,0,2
Fresno,06/20/2020,3222,66,71,44,14,3
Glenn,06/20/2020,40,0,0,0,0,0
Humboldt,06/20/2020,108,4,0,1,0,1
Imperial,06/20/2020,4616,64,89,0,20,0
Inyo,06/20/2020,26,1,0,0,0,0
Kern,06/20/2020,3836,60,103,13,42,0
Kings,06/20/2020,1331,12,44,0,8,0
Lake,06/20/2020,37,0,0,0,0,0
Lassen,06/20/2020,7,0,0,0,0,0
Los Angeles,06/20/2020,81604,3110,1453,516,408,87
Madera,06/20/2020,321,4,8,2,3,0
Marin,06/20/2020,879,18,5,0,3,0
Mariposa,06/20/2020,18,1,0,0,0,0
Mendocino,06/20/2020,48,0,0,0,0,0
Merced,06/20/2020,566,8,9,1,3,1
Modoc,06/20/2020,0,0,0,0,0,0
Mono,06/20/2020,34,1,0,0,0,0
Monterey,06/20/2020,1181,12,19,0,5,0
Napa,06/20/2020,212,4,2,8,0,0
Nevada,06/20/2020,73,1,3,3,1,0
Orange,06/20/2020,10284,267,363,83,142,25
Placer,06/20/2020,483,9,10,11,2,2
Plumas,06/20/2020,6,0,0,0,0,0
Riverside,06/20/2020,13021,410,297,69,77,23
Sacramento,06/20/2020,2069,67,39,14,19,4
San Benito,06/20/2020,139,2,0,0,0,0
San Bernardino,06/20/2020,8718,233,252,78,94,5
San Diego,06/20/2020,10486,338,280,50,138,10
San Francisco,06/20/2020,2999,47,32,24,10,5
San Joaquin,06/20/2020,2046,48,67,20,23,5
San Luis Obispo,06/20/2020,405,1,5,4,2,1
San Mateo,06/20/2020,2755,103,15,6,7,0
Santa Barbara,06/20/2020,2358,22,52,5,16,1
Santa Clara,06/20/2020,3435,154,41,14,20,1
Santa Cruz,06/20/2020,287,3,4,3,2,0
Shasta,06/20/2020,66,5,1,0,1,0
Sierra,06/20/2020,1,0,0,0,0,0
Siskiyou,06/20/2020,22,0,1,0,1,0
Solano,06/20/2020,784,23,22,10,7,0
Sonoma,06/20/2020,806,4,5,0,3,0
Stanislaus,06/20/2020,1598,35,67,30,23,4
Sutter,06/20/2020,89,3,0,0,0,0
Tehama,06/20/2020,35,1,0,0,0,0
Trinity,06/20/2020,2,0,0,4,0,0
Tulare,06/20/2020,3172,111,47,2,10,1
Tuolumne,06/20/2020,8,0,0,0,0,0
Unassigned,06/20/2020,3,0,0,0,0,0
Ventura,06/20/2020,1946,42,47,26,13,3
Yolo,06/20/2020,309,24,3,0,1,0
Yuba,06/20/2020,34,1,3,0,1,0
Alameda,06/21/2020,4835,119,76,43,30,12
Alpine,06/21/2020,1,0,0,0,0,0
Amador,06/21/2020,12,0,0,1,0,1
Butte,06/21/2020,97,1,6,0,5,0
Calaveras,06/21/2020,20,0,0,1,0,0
Colusa,06/21/2020,7,0,0,1,0,0
Contra Costa,06/21/2020,2282,62,35,16,10,7
Del Norte,06/21/2020,46,0,0,0,0,0
El Dorado,06/21/2020,132,0,0,2,0,2
Fresno,06/21/2020,3296,66,73,31,18,2
Glenn,06/21/2020,40,0,0,0,0,0
Humboldt,06/21/2020,108,4,0,1,0,1
Imperial,06/21/2020,4701,64,95,0,21,0
Inyo,06/21/2020,26,1,0,0,0,0
Kern,06/21/2020,3918,60,108,17,41,0
Kings,06/21/2020,1334,14,45,0,7,0
Lake,06/21/2020,36,0,0,1,0,0
Lassen,06/21/2020,7,0,0,0,0,0
Los Angeles,06/21/2020,83383,3120,1515,486,412,80
Madera,06/21/2020,319,4,7,0,3,0
Marin,06/21/2020,907,18,9,2,3,0
Mariposa,06/21/2020,18,1,0,0,0,0
Mendocino,06/21/2020,48,0,0,0,0,0
Merced,06/21/2020,577,8,9,3,3,0
Modoc,06/21/2020,0,0,0,0,0,0
Mono,06/21/2020,34,1,0,0,0,0
Monterey,06/21/2020,1227,12,18,0,6,0
Napa,06/21/2020,218,4,5,3,0,0
Nevada,06/21/2020,79,1,3,4,2,0
Orange,06/21/2020,10563,269,361,85,142,29
Placer,06/21/2020,498,9,11,9,1,1
Plumas,06/21/2020,6,0,0,0,0,0
Riverside,06/21/2020,13528,410,299,106,87,23
Sacramento,06/21/2020,2156,67,46,15,22,6
San Benito,06/21/2020,151,2,0,0,0,0
San Bernardino,06/21/2020,8925,233,270,74,97,11
San Diego,06/21/2020,10796,338,277,49,137,15
San Francisco,06/21/2020,3000,47,37,7,12,1
San Joaquin,06/21/2020,2188,48,81,21,24,2
San Luis Obispo,06/21/2020,418,1,4,2,2,0
San Mateo,06/21/2020,2781,103,18,9,8,1
Santa Barbara,06/21/2020,2430,22,46,8,19,2
Santa Clara,06/21/2020,3514,154,40,21,21,0
Santa Cruz,06/21/2020,290,3,5,4,2,0
Shasta,06/21/2020,75,5,2,1,1,1
Sierra,06/21/2020,1,0,0,0,0,0
Siskiyou,06/21/2020,23,0,1,0,1,0
Solano,06/21/2020,783,23,20,9,8,1
Sonoma,06/21/2020,836,4,4,3,3,0
Stanislaus,06/21/2020,1688,35,70,21,24,3
Sutter,06/21/2020,96,3,0,0,0,0
Tehama,06/21/2020,35,1,0,0,0,0
Trinity,06/21/2020,2,0,0,3,0,0
Tulare,06/21/2020,3173,111,49,5,10,1
Tuolumne,06/21/2020,8,0,0,0,0,0
Unassigned,06/21/2020,3,0,0,0,0,0
Ventura,06/21/2020,2021,42,51,37,14,10
Yolo,06/21/2020,323,24,3,1,1,1
Yuba,06/21/2020,35,1,3,0,2,0
Alameda,06/22/2020,4944,121,78,34,30,8
Alpine,06/22/2020,1,0,0,0,0,0
Amador,06/22/2020,12,0,0,0,0,0
Butte,06/22/2020,104,1,6,3,3,2
Calaveras,06/22/2020,20,0,0,0,0,0
Colusa,06/22/2020,7,0,0,1,0,0
Contra Costa,06/22/2020,2363,62,32,19,10,3
Del Norte,06/22/2020,46,0,0,0,0,0
El Dorado,06/22/2020,137,0,1,0,1,0
Fresno,06/22/2020,3425,67,83,39,18,1
Glenn,06/22/2020,40,0,0,0,0,0
Humboldt,06/22/2020,110,4,0,1,0,0
Imperial,06/22/2020,4700,64,95,0,17,0
Inyo,06/22/2020,26,1,0,0,0,0
Kern,06/22/2020,3982,66,115,14,44,0
Kings,06/22/2020,1513,18,47,0,8,0
Lake,06/22/2020,37,0,0,0,0,0
Lassen,06/22/2020,7,0,0,0,0,0
Los Angeles,06/22/2020,85925,3138,1556,534,406,76
Madera,06/22/2020,333,5,6,1,2,0
Marin,06/22/2020,1029,18,11,2,4,0
Mariposa,06/22/2020,18,1,0,0,0,0
Mendocino,06/22/2020,48,0,0,0,0,0
Merced,06/22/2020,619,9,7,2,3,0
Modoc,06/22/2020,0,0,0,0,0,0
Mono,06/22/2020,34,1,0,0,0,0
Monterey,06/22/2020,1293,12,20,1,7,0
Napa,06/22/2020,222,4,5,5,1,1
Nevada,06/22/2020,79,1,3,3,2,1
Orange,06/22/2020,10711,275,376,90,152,24
Placer,06/22/2020,512,9,11,9,2,0
Plumas,06/22/2020,6,0,0,0,0,0
Riverside,06/22/2020,13948,424,316,107,90,19
Sacramento,06/22/2020,2243,66,46,8,19,1
San Benito,06/22/2020,164,2,0,0,0,0
San Bernardino,06/22/2020,9133,234,301,84,109,14
San Diego,06/22/2020,11098,338,286,60,137,18
San Francisco,06/22/2020,3000,48,40,7,12,2
San Joaquin,06/22/2020,2332,48,91,50,22,5
San Luis Obispo,06/22/2020,422,1,4,3,3,1
San Mateo,06/22/2020,2813,103,19,4,9,1
Santa Barbara,06/22/2020,2447,27,51,7,20,1
Santa Clara,06/22/2020,3580,154,48,16,25,0
Santa Cruz,06/22/2020,290,3,6,4,2,0
Shasta,06/22/2020,77,5,2,0,1,0
Sierra,06/22/2020,1,0,0,0,0,0
Siskiyou,06/22/2020,23,0,1,0,1,0
Solano,06/22/2020,784,23,19,7,7,1
Sonoma,06/22/2020,860,5,6,1,4,1
Stanislaus,06/22/2020,1784,37,73,19,26,3
Sutter,06/22/2020,100,3,0,0,0,0
Tehama,06/22/2020,38,1,0,0,0,0
Trinity,06/22/2020,2,0,0,2,0,0
Tulare,06/22/2020,3185,113,53,4,10,0
Tuolumne,06/22/2020,8,0,0,0,0,0
Unassigned,06/22/2020,4,0,0,0,0,0
Ventura,06/22/2020,2065,43,49,56,14,13
Yolo,06/22/2020,333,24,1,0,1,0
Yuba,06/22/2020,36,1,4,0,3,0
Alameda,06/23/2020,5159,121,86,42,33,11
Alpine,06/23/2020,1,0,0,0,0,0
Amador,06/23/2020,13,0,0,0,0,0
Butte,06/23/2020,111,1,7,0,4,0
Calaveras,06/23/2020,26,0,0,1,0,0
Colusa,06/23/2020,7,0,0,1,0,0
Contra Costa,06/23/2020,2453,62,37,15,8,2
Del Norte,06/23/2020,46,0,1,0,1,0
El Dorado,06/23/2020,142,0,1,2,1,2
Fresno,06/23/2020,3569,70,91,48,22,0
Glenn,06/23/2020,47,0,0,0,0,0
Humboldt,06/23/2020,110,4,1,1,1,0
Imperial,06/23/2020,5025,68,93,0,18,0
Inyo,06/23/2020,26,1,0,0,0,0
Kern,06/23/2020,4087,66,118,15,43,1
Kings,06/23/2020,1727,18,51,0,9,0
Lake,06/23/2020,40,0,0,1,0,1
Lassen,06/23/2020,9,0,0,0,0,0
Los Angeles,06/23/2020,88433,3171,1633,626,416,100
Madera,06/23/2020,369,5,7,0,1,0
Marin,06/23/2020,1139,18,12,2,3,1
Mariposa,06/23/2020,18,1,0,0,0,0
Mendocino,06/23/2020,61,0,0,0,0,0
Merced,06/23/2020,656,9,9,3,3,0
Modoc,06/23/2020,0,0,0,0,0,0
Mono,06/23/2020,35,1,0,0,0,0
Monterey,06/23/2020,1346,12,21,2,7,0
Napa,06/23/2020,230,4,7,7,0,1
Nevada,06/23/2020,81,1,3,2,2,0
Orange,06/23/2020,11071,275,406,79,154,20
Placer,06/23/2020,525,10,10,3,2,0
Plumas,06/23/2020,6,0,0,0,0,0
Riverside,06/23/2020,14469,431,315,119,92,23
Sacramento,06/23/2020,2374,66,50,15,18,0
San Benito,06/23/2020,167,2,0,0,0,0
San Bernardino,06/23/2020,9771,234,311,130,111,22
San Diego,06/23/2020,11296,338,312,58,146,11
San Francisco,06/23/2020,3177,48,45,8,16,2
San Joaquin,06/23/2020,2502,48,89,20,23,3
San Luis Obispo,06/23/2020,445,1,5,2,2,1
San Mateo,06/23/2020,2907,103,22,5,8,2
Santa Barbara,06/23/2020,2498,27,53,8,22,2
Santa Clara,06/23/2020,3700,155,57,15,31,0
Santa Cruz,06/23/2020,313,3,6,3,1,0
Shasta,06/23/2020,81,5,3,0,1,0
Sierra,06/23/2020,1,0,0,0,0,0
Siskiyou,06/23/2020,24,0,1,0,1,0
Solano,06/23/2020,941,23,23,3,7,0
Sonoma,06/23/2020,912,5,9,5,7,3
Stanislaus,06/23/2020,1850,37,82,16,27,2
Sutter,06/23/2020,112,3,0,0,0,0
Tehama,06/23/2020,50,1,0,0,0,0
Trinity,06/23/2020,2,0,0,1,0,0
Tulare,06/23/2020,3456,116,56,5,11,0
Tuolumne,06/23/2020,9,0,1,0,0,0
Unassigned,06/23/2020,3,0,0,0,0,0
Ventura,06/23/2020,2209,43,54,40,14,9
Yolo,06/23/2020,350,24,1,0,1,0
Yuba,06/23/2020,35,1,6,1,1,0
